;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
0;1;1;1;1;1;1;0;26;0;118;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
8;1;1;1;1;1;1;0;18;1;308;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
10;1;1;1;1;1;1;0;18;0;187;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0
13;1;1;1;1;1;1;0;18;0;59;1;111;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
15;1;1;0;1;1;26;0;19;0;139;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
18;1;1;0;1;2;21;0;35;1;7;1;8;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
20;1;1;1;1;1;31;0;21;0;59;1;141;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0
28;1;1;0;1;1;1;0;20;0;217;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
32;1;1;1;1;1;1;0;19;0;120;1;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;0
36;1;1;1;1;1;1;0;26;0;118;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
50;1;9;1;1;1;1;2;23;1;340;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0
62;2;18;0;1;1;1;0;19;0;340;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
65;0;17;1;5;1;1;0;18;0;119;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
66;0;0;0;4;1;1;0;20;1;313;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
