;cd_instituic;cd_curso;sexo;ord_ingresso;cd_tip_est_sec;cd_hab_ant;cd_regime;idadeReal;trabalhadorEstudante;cd_inst_hab_ant;estado_civil;cd_cur_hab_ant;Ensino Outros Mae;Ensino Outros Pai;pais trabalham;Portugues;CNA;internacional;maiores 23;outros;1geracao;nota10-12;nota12-14;nota14-16;nota16-18;nota18-20;Abandono
26;1;1;1;1;1;1;0;19;0;206;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
31;1;1;1;1;1;1;0;21;0;122;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
34;1;1;1;1;1;1;0;19;1;313;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
42;1;1;0;1;1;1;0;19;0;73;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0
54;0;16;0;1;1;1;0;22;0;340;1;0;0;0;3;0;0;1;0;0;1;0;0;1;0;0;0
58;1;9;1;1;1;2;2;25;1;340;2;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0
68;3;4;0;2;2;1;0;18;1;254;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
75;0;17;0;1;1;1;0;18;0;109;1;0;0;0;3;1;2;0;0;0;1;0;0;1;0;0;0
79;0;17;0;2;1;1;0;19;0;310;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
83;0;17;0;1;2;1;0;18;0;190;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0
90;0;20;0;1;1;1;2;33;1;123;2;0;0;0;2;1;0;0;1;0;1;0;1;0;0;0;0
93;0;7;1;1;1;1;1;38;1;310;2;0;0;0;2;1;0;0;1;0;1;0;1;0;0;0;0
119;0;17;0;2;1;1;0;19;0;113;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
124;0;11;0;4;1;1;0;18;0;190;1;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0
127;0;19;0;3;1;1;0;19;0;119;1;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0
137;1;8;1;2;1;1;0;19;0;254;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
139;0;0;1;2;1;1;0;21;0;135;1;0;0;0;3;1;1;0;0;0;1;0;1;0;0;0;0
140;0;0;1;6;1;1;0;19;0;330;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0
141;0;0;0;5;1;1;0;20;1;313;1;0;0;0;1;1;2;0;0;0;1;1;0;0;0;0;0
151;0;23;0;2;1;1;0;22;0;252;1;0;0;0;3;1;0;0;0;1;0;0;1;0;0;0;0
169;0;2;0;1;1;1;2;33;1;140;1;0;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0
172;0;11;0;2;1;1;0;18;0;79;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0
182;1;9;1;1;1;31;2;23;1;59;1;120;0;0;2;1;0;0;0;1;1;0;0;0;1;0;0
194;0;20;1;5;1;1;2;18;0;305;1;0;0;0;2;1;3;0;0;0;0;0;1;0;0;0;0
220;1;13;1;1;1;31;0;21;0;59;1;139;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0
225;0;11;1;1;2;1;0;41;1;315;4;0;1;0;3;1;0;0;1;0;0;1;0;0;0;0;0
232;0;17;0;4;1;1;0;17;0;264;1;0;0;0;1;1;2;0;0;0;1;0;0;1;0;0;0
238;0;17;0;1;1;1;0;18;0;146;1;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0
245;0;0;0;5;1;1;0;18;0;122;1;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0
249;0;17;1;1;1;1;0;18;0;253;1;0;0;0;1;1;2;0;0;0;1;0;0;1;0;0;0
261;0;7;1;4;1;1;1;17;0;78;1;0;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0
262;0;15;0;4;1;1;0;19;0;79;1;0;0;0;3;1;2;0;0;0;1;0;1;0;0;0;0
269;0;2;0;1;1;1;2;18;0;109;1;0;0;0;3;1;2;0;0;0;1;0;0;1;0;0;0
284;1;13;0;5;1;1;0;18;0;254;1;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0
286;1;10;1;2;1;1;0;19;1;81;1;0;0;0;3;1;2;0;0;0;1;0;1;0;0;0;0
287;1;14;1;1;1;1;0;18;0;121;1;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0
293;1;5;1;1;1;1;0;18;0;80;1;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0
306;2;12;1;1;1;1;0;18;0;82;1;0;0;0;3;1;2;0;0;0;1;0;0;0;1;0;0
314;3;6;0;2;1;1;2;17;0;73;1;0;0;0;2;1;2;0;0;0;1;0;1;0;0;0;0
319;1;9;1;1;1;1;2;18;0;310;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
320;1;8;1;1;1;1;0;43;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0
326;1;14;1;1;1;31;0;19;0;59;1;138;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0
327;1;14;1;1;2;31;0;21;0;59;1;119;0;0;3;1;0;0;0;1;1;0;0;1;0;0;0
329;1;14;1;1;1;31;0;21;0;59;1;119;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0
334;1;8;1;1;1;31;0;20;0;59;1;135;0;0;3;1;0;0;0;1;0;0;0;1;0;0;0
342;1;8;1;1;1;1;0;26;0;302;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0
345;1;10;1;1;1;31;0;20;0;59;1;135;0;0;3;1;0;0;0;1;1;0;1;0;0;0;0
350;1;14;1;1;1;31;0;21;0;59;1;119;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0
353;1;5;1;1;1;1;0;24;0;74;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0
356;0;2;1;1;1;1;2;39;1;333;2;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0
