;cd_tip_est_sec;cd_inst_hab_ant;Ensino Basico Mae;Ensino Basico Pai;Ensino Outros Mae;Ensino Outros Pai;Portugues;internacional;Abandono
22;1;305;1;1;0;0;1;0;0
26;1;206;1;1;0;0;1;0;0
30;1;199;1;1;0;0;1;0;0
31;1;122;1;1;0;0;1;0;0
34;1;313;1;1;0;0;1;0;0
45;1;146;1;1;0;0;1;0;0
48;1;340;1;1;0;0;0;1;0
52;1;0;1;0;0;1;0;1;0
75;1;109;1;1;0;0;1;0;0
79;1;310;1;1;0;0;1;0;0
82;1;119;1;1;0;0;1;0;0
93;1;310;1;1;0;0;1;0;0
116;1;119;1;1;0;0;1;0;0
119;1;113;1;1;0;0;1;0;0
124;1;190;1;1;0;0;1;0;0
127;1;119;1;1;0;0;1;0;0
137;1;254;1;1;0;0;1;0;0
138;1;121;1;1;0;0;1;0;0
140;1;330;1;1;0;0;1;0;0
147;1;113;1;1;0;0;1;0;0
149;1;78;1;1;0;0;1;0;0
168;1;20;1;1;0;0;1;0;0
172;1;79;1;1;0;0;1;0;0
174;1;217;1;1;0;0;1;0;0
185;1;310;1;1;0;0;1;0;0
187;1;310;1;1;0;0;1;0;0
194;1;305;1;1;0;0;1;0;0
195;1;78;1;1;0;0;1;0;0
199;1;59;1;1;0;0;1;0;0
211;1;289;1;1;0;0;1;0;0
230;1;120;1;1;0;0;1;0;0
232;1;264;1;1;0;0;1;0;0
236;1;190;1;1;0;0;1;0;0
238;1;146;1;1;0;0;1;0;0
244;1;121;1;1;0;0;1;0;0
245;1;122;1;1;0;0;1;0;0
247;1;300;1;1;0;0;1;0;0
261;1;78;1;1;0;0;1;0;0
262;1;79;1;1;0;0;1;0;0
264;1;79;1;1;0;0;1;0;0
293;1;80;1;1;0;0;1;0;0
294;1;59;1;1;0;0;1;0;0
302;1;224;1;1;0;0;1;0;0
314;1;73;1;1;0;0;1;0;0
315;1;315;1;1;0;0;1;0;0
316;1;207;1;1;0;0;1;0;0
319;1;310;1;1;0;0;0;1;0
320;1;0;1;0;0;1;1;0;0
322;1;34;1;1;0;0;1;0;0
327;2;59;1;1;0;0;1;0;0
334;1;59;1;1;0;0;1;0;0
342;1;302;1;1;0;0;1;0;0
343;1;349;1;1;0;0;1;0;0
350;1;59;1;1;0;0;1;0;0
351;1;348;1;1;0;0;1;0;0
353;1;74;1;1;0;0;1;0;0
355;1;350;1;1;0;0;1;0;0
356;1;333;1;1;0;0;1;0;0
357;1;347;1;1;0;0;1;0;0
359;1;6;1;1;0;0;1;0;0
370;1;121;1;1;0;0;1;0;0
373;2;305;0;1;1;0;1;0;0
374;2;342;1;1;0;0;1;0;0
377;1;305;1;1;0;0;1;0;0
422;1;119;1;1;0;0;1;0;0
425;1;37;1;1;0;0;1;0;0
426;1;34;1;1;0;0;1;0;0
430;1;35;1;1;0;0;1;0;0
437;2;349;1;1;0;0;1;0;0
459;1;79;1;1;0;0;1;0;0
460;1;78;1;1;0;0;1;0;0
466;1;246;1;1;0;0;1;0;0
471;1;120;1;1;0;0;1;0;0
473;1;170;1;1;0;0;1;0;0
474;1;310;1;1;0;0;1;0;0
488;1;187;1;1;0;0;0;0;0
493;1;309;1;1;0;0;1;0;0
496;1;266;1;1;0;0;1;0;0
507;1;136;1;1;0;0;1;0;0
512;2;273;1;1;0;0;1;0;0
516;1;185;1;1;0;0;1;0;0
520;1;97;1;1;0;0;1;0;0
556;2;252;1;1;0;0;1;0;0
564;1;209;1;1;0;0;1;0;0
570;1;224;1;1;0;0;1;0;0
571;1;224;1;1;0;0;1;0;0
573;1;331;1;1;0;0;1;0;0
595;1;323;1;1;0;0;1;0;0
596;1;323;1;1;0;0;1;0;0
626;1;305;1;1;0;0;1;0;0
638;1;305;1;1;0;0;1;0;0
644;1;255;1;1;0;0;1;0;0
658;1;109;1;1;0;0;1;0;0
667;1;113;1;1;0;0;1;0;0
677;1;109;1;1;0;0;1;0;0
706;1;78;1;1;0;0;1;0;0
707;1;78;1;1;0;0;1;0;0
712;1;78;1;1;0;0;1;0;0
719;2;286;1;1;0;0;1;0;0
730;2;59;1;1;0;0;1;0;0
731;1;144;1;1;0;0;1;0;0
744;1;121;1;1;0;0;1;0;0
756;1;209;1;1;0;0;1;0;0
759;1;318;1;1;0;0;1;0;0
760;1;249;1;1;0;0;1;0;0
769;1;120;1;1;0;0;1;0;0
784;1;110;1;1;0;0;1;0;0
811;1;140;1;1;0;0;1;0;0
827;1;180;1;1;0;0;1;0;0
833;1;327;1;1;0;0;1;0;0
855;1;315;1;1;0;0;1;0;0
861;1;253;1;1;0;0;1;0;0
864;1;313;1;1;0;0;1;0;0
867;1;313;1;1;0;0;1;0;0
868;1;313;1;1;0;0;1;0;0
879;1;333;1;1;0;0;1;0;0
889;1;305;1;1;0;0;1;0;0
895;1;248;1;1;0;0;1;0;0
903;1;121;1;1;0;0;1;0;0
931;1;305;1;1;0;0;1;0;0
934;1;313;1;1;0;0;1;0;0
935;1;313;1;1;0;0;1;0;0
939;1;79;1;1;0;0;1;0;0
948;1;113;1;1;0;0;1;0;0
956;1;78;1;1;0;0;1;0;0
968;1;0;1;1;0;0;0;1;0
971;1;340;1;1;0;0;0;1;0
972;1;60;1;1;0;0;0;1;0
976;1;313;1;1;0;0;1;0;0
978;1;34;1;1;0;0;1;0;0
983;1;313;1;1;0;0;1;0;0
985;1;340;1;1;0;0;1;0;0
990;1;35;1;1;0;0;1;0;0
998;1;59;1;1;0;0;1;0;0
