;cd_tip_est_sec;cd_inst_hab_ant;Ensino Outros Mae;Ensino Outros Pai;Portugues;internacional;Abandono
22;1;305;0;0;1;0;0
26;1;206;0;0;1;0;0
34;1;313;0;0;1;0;0
58;1;340;0;0;0;1;0
90;1;123;0;0;1;0;0
119;1;113;0;0;1;0;0
124;1;190;0;0;1;0;0
127;1;119;0;0;1;0;0
137;1;254;0;0;1;0;0
140;1;330;0;0;1;0;0
141;1;313;0;0;1;0;0
149;1;78;0;0;1;0;0
166;1;273;0;0;1;0;0
172;1;79;0;0;1;0;0
185;1;310;0;0;1;0;0
187;1;310;0;0;1;0;0
194;1;305;0;0;1;0;0
195;1;78;0;0;1;0;0
211;1;289;0;0;1;0;0
232;1;264;0;0;1;0;0
238;1;146;0;0;1;0;0
244;1;121;0;0;1;0;0
245;1;122;0;0;1;0;0
261;1;78;0;0;1;0;0
262;1;79;0;0;1;0;0
264;1;79;0;0;1;0;0
275;1;215;0;0;1;0;0
293;1;80;0;0;1;0;0
306;1;82;0;0;1;0;0
319;1;310;0;0;0;1;0
320;1;0;0;1;1;0;0
334;1;59;0;0;1;0;0
350;1;59;0;0;1;0;0
351;1;348;0;0;1;0;0
353;1;74;0;0;1;0;0
356;1;333;0;0;1;0;0
377;1;305;0;0;1;0;0
387;1;289;0;0;1;0;0
422;1;119;0;0;1;0;0
425;1;37;0;0;1;0;0
460;1;78;0;0;1;0;0
473;1;170;0;0;1;0;0
493;1;309;0;0;1;0;0
496;1;266;0;0;1;0;0
507;1;136;0;0;1;0;0
512;2;273;0;0;1;0;0
520;1;97;0;0;1;0;0
533;1;121;0;0;1;0;0
556;2;252;0;0;1;0;0
564;1;209;0;0;1;0;0
567;1;209;0;0;1;0;0
571;1;224;0;0;1;0;0
595;1;323;0;0;1;0;0
596;1;323;0;0;1;0;0
626;1;305;0;0;1;0;0
638;1;305;0;0;1;0;0
658;1;109;0;0;1;0;0
667;1;113;0;0;1;0;0
685;1;109;0;0;1;0;0
712;1;78;0;0;1;0;0
719;2;286;0;0;1;0;0
731;1;144;0;0;1;0;0
744;1;121;0;0;1;0;0
756;1;209;0;0;1;0;0
769;1;120;0;0;1;0;0
827;1;180;0;0;1;0;0
833;1;327;0;0;1;0;0
861;1;253;0;0;1;0;0
866;1;313;0;0;1;0;0
868;1;313;0;0;1;0;0
879;1;333;0;0;1;0;0
895;1;248;0;0;1;0;0
902;1;80;0;0;1;0;0
903;1;121;0;0;1;0;0
915;1;187;0;0;1;0;0
931;1;305;0;0;1;0;0
934;1;313;0;0;1;0;0
948;1;113;0;0;1;0;0
959;2;13;0;0;0;1;0
968;1;0;0;0;0;1;0
969;2;1;0;0;0;1;0
971;1;340;0;0;0;1;0
983;1;313;0;0;1;0;0
998;1;59;0;0;1;0;0
